 kode_mata_kuliah |                 nama_mata_kuliah                  | total_mahasiswa_mengambil | total_tidak_lulus | persentase_tidak_lulus | peringkat_kritis
 MK-992           | Audit Jaringan Komputer Lanjut                    |                      2296 |               630 |                  27.44 |               78
 MK-778           | Kecerdasan Buatan                                 |                      1885 |               517 |                  27.43 |               79
 MK-853           | Praktikum Struktur Data Terapan                   |                      1853 |               508 |                  27.42 |               80
 MK-109           | Audit Pengembangan API Lanjut                     |                      1959 |               537 |                  27.41 |               81
 MK-759           | Keamanan Pembelajaran Mendalam Terapan            |                      1948 |               534 |                  27.41 |               81
 MK-784           | Topik Khusus Algoritma Kontemporer                |                      2162 |               592 |                  27.38 |               82
 MK-466           | Praktikum Pemrosesan Bahasa Alami II              |                      2210 |               605 |                  27.38 |               82
 MK-299           | Keamanan Struktur Data II                         |                      2020 |               553 |                  27.38 |               82
 MK-242           | Evaluasi Analisis Data Eksploratif                |                      2192 |               600 |                  27.37 |               83
 MK-647           | Desain Matematika Diskrit Terapan                 |                      2237 |               612 |                  27.36 |               84
 MK-033           | Praktikum Visi Komputer Lanjut                    |                      1905 |               521 |                  27.35 |               85
 MK-638           | Kriptografi Lanjut                                |                      2224 |               608 |                  27.34 |               86
 MK-830           | Sistem Basis Data I                               |                      2215 |               605 |                  27.31 |               87
 MK-933           | Evaluasi Kecerdasan Buatan I                      |                      1997 |               545 |                  27.29 |               88
 MK-352           | Pengantar Sistem Terdistribusi Berbasis Cloud     |                      1962 |               535 |                  27.27 |               89
 MK-495           | Pengantar Pemrograman Web Lanjut                  |                      2186 |               596 |                  27.26 |               90
 MK-048           | Topik Khusus Jaringan Komputer                    |                      1845 |               503 |                  27.26 |               90
 MK-062           | Rekayasa Rekayasa Perangkat Lunak I               |                      2027 |               552 |                  27.23 |               91
 MK-201           | Rekayasa Pembelajaran Mesin Berbasis Cloud        |                      2266 |               617 |                  27.23 |               91
 MK-380           | Evaluasi Struktur Data Lanjut                     |                      2187 |               595 |                  27.21 |               92
 MK-354           | Topik Khusus Pembelajaran Mesin Kontemporer       |                      2022 |               550 |                  27.20 |               93
 MK-607           | Jaringan Komputer Terapan                         |                      2213 |               602 |                  27.20 |               93
 MK-149           | Keamanan Analisis Data Eksploratif I              |                      1784 |               485 |                  27.19 |               94
 MK-381           | Pengantar Forensik Digital II                     |                      2204 |               599 |                  27.18 |               95
 MK-552           | Keamanan Matematika Diskrit Berbasis Cloud        |                      1934 |               525 |                  27.15 |               96
 MK-285           | Praktikum Komputasi Awan                          |                      1849 |               502 |                  27.15 |               96
 MK-360           | Manajemen Kecerdasan Buatan II                    |                      1939 |               526 |                  27.13 |               97
 MK-055           | Topik Khusus Internet of Things Berbasis Cloud    |                      2180 |               591 |                  27.11 |               98
 MK-256           | Desain Matematika Diskrit I                       |                      1960 |               531 |                  27.09 |               99
 MK-235           | Kriptografi Terapan                               |                      2197 |               595 |                  27.08 |              100
 MK-429           | Manajemen Statistika Komputasi Lanjut             |                      1861 |               504 |                  27.08 |              100
 MK-446           | Rekayasa Struktur Data Terapan                    |                      2202 |               596 |                  27.07 |              101
 MK-819           | Keamanan Pemrosesan Bahasa Alami Lanjut           |                      2226 |               602 |                  27.04 |              102
 MK-526           | Audit Analisis Data Eksploratif Berbasis Cloud    |                      1946 |               526 |                  27.03 |              103
 MK-659           | Pengantar Sains Data Terapan                      |                      1940 |               524 |                  27.01 |              104
 MK-304           | Audit Sistem Terdistribusi Terapan                |                      2281 |               616 |                  27.01 |              104
 MK-886           | Keamanan Sistem Basis Data I                      |                      2190 |               591 |                  26.99 |              105
 MK-915           | Desain Sistem Basis Data II                       |                      2163 |               583 |                  26.95 |              106
 MK-081           | Manajemen Rekayasa Perangkat Lunak I              |                      1993 |               537 |                  26.94 |              107
 MK-419           | Pengantar Manajemen Proyek TI Terapan             |                      1841 |               496 |                  26.94 |              107
 MK-664           | Desain Kriptografi Berbasis Cloud                 |                      1817 |               489 |                  26.91 |              108
 MK-153           | Desain Pemrograman Web Kontemporer                |                      2253 |               606 |                  26.90 |              109
 MK-361           | Praktikum Sistem Operasi I                        |                      2236 |               601 |                  26.88 |              110
 MK-883           | Rekayasa Komputasi Awan Berbasis Cloud            |                      1968 |               529 |                  26.88 |              110
 MK-347           | Pengantar Sistem Operasi                          |                      1953 |               524 |                  26.83 |              111
 MK-324           | Manajemen Struktur Data                           |                      1862 |               499 |                  26.80 |              112
 MK-388           | Rekayasa Sains Data                               |                      2004 |               537 |                  26.80 |              112
 MK-314           | Manajemen Visi Komputer                           |                      1845 |               494 |                  26.78 |              113
 MK-857           | Evaluasi Pembelajaran Mesin Kontemporer           |                      1920 |               514 |                  26.77 |              114
 MK-592           | Audit Visi Komputer Berbasis Cloud                |                      2017 |               540 |                  26.77 |              114
 MK-115           | Pengantar Pemrosesan Bahasa Alami Berbasis Cloud  |                      2317 |               619 |                  26.72 |              115
 MK-384           | Pemrosesan Bahasa Alami Terapan                   |                      2234 |               596 |                  26.68 |              116
 MK-600           | Pengantar Sistem Terdistribusi I                  |                      1920 |               512 |                  26.67 |              117
 MK-251           | Evaluasi Sistem Basis Data Lanjut                 |                      1853 |               494 |                  26.66 |              118
 MK-199           | Rekayasa Visi Komputer Terapan                    |                      1820 |               485 |                  26.65 |              119
 MK-578           | Pengantar Sistem Terdistribusi Terapan            |                      1941 |               517 |                  26.64 |              120
 MK-517           | Topik Khusus Visi Komputer Terapan                |                      2282 |               608 |                  26.64 |              120
 MK-009           | Rekayasa Visi Komputer Berbasis Cloud             |                      1881 |               501 |                  26.63 |              121
 MK-278           | Desain Manajemen Proyek TI I                      |                      2171 |               578 |                  26.62 |              122
 MK-772           | Evaluasi Visi Komputer Berbasis Cloud             |                      2136 |               568 |                  26.59 |              123
 MK-018           | Manajemen Pemrosesan Bahasa Alami Kontemporer     |                      1817 |               483 |                  26.58 |              124
 MK-295           | Desain Pembelajaran Mendalam II                   |                      1827 |               485 |                  26.55 |              125
 MK-533           | Rekayasa Pengembangan API I                       |                      1884 |               500 |                  26.54 |              126
 MK-918           | Kriptografi Berbasis Cloud                        |                      1911 |               507 |                  26.53 |              127
 MK-956           | Evaluasi Pengembangan API Lanjut                  |                      1949 |               517 |                  26.53 |              127
 MK-967           | Praktikum Rekayasa Perangkat Lunak II             |                      1968 |               522 |                  26.52 |              128
 MK-665           | Desain Sistem Basis Data Lanjut                   |                      1944 |               515 |                  26.49 |              129
 MK-298           | Evaluasi Statistika Komputasi Kontemporer         |                      2137 |               566 |                  26.49 |              129
 MK-336           | Evaluasi Jaringan Komputer Kontemporer            |                      1949 |               516 |                  26.48 |              130
 MK-283           | Audit Pengembangan API                            |                      2184 |               578 |                  26.47 |              131
 MK-681           | Manajemen Pemrosesan Bahasa Alami Terapan         |                      1802 |               477 |                  26.47 |              131
 MK-014           | Praktikum Sains Data Lanjut                       |                      1764 |               467 |                  26.47 |              131
 MK-267           | Pengantar Pemrosesan Bahasa Alami Terapan         |                      2003 |               530 |                  26.46 |              132
 MK-534           | Topik Khusus Komputasi Awan Berbasis Cloud        |                      1929 |               510 |                  26.44 |              133
 MK-317           | Desain Sistem Terdistribusi Terapan               |                      1866 |               493 |                  26.42 |              134
 MK-061           | Audit Matematika Diskrit II                       |                      2007 |               530 |                  26.41 |              135
 MK-816           | Keamanan Pembelajaran Mesin                       |                      2015 |               531 |                  26.35 |              136
 MK-338           | Audit Struktur Data I                             |                      2215 |               583 |                  26.32 |              137
 MK-142           | Sistem Terdistribusi II                           |                      2028 |               533 |                  26.28 |              138
 MK-274           | Audit Struktur Data Terapan                       |                      1846 |               485 |                  26.27 |              139
 MK-750           | Keamanan Pembelajaran Mendalam Lanjut             |                      1954 |               513 |                  26.25 |              140
 MK-394           | Keamanan Statistika Komputasi Kontemporer         |                      2024 |               530 |                  26.19 |              141
 MK-775           | Desain Algoritma II                               |                      1926 |               504 |                  26.17 |              142
 MK-133           | Pengantar Kecerdasan Buatan II                    |                      1795 |               469 |                  26.13 |              143
 MK-487           | Rekayasa Matematika Diskrit                       |                      1872 |               489 |                  26.12 |              144
 MK-556           | Keamanan Rekayasa Perangkat Lunak II              |                      1993 |               520 |                  26.09 |              145
 MK-402           | Praktikum Pemrograman Web I                       |                      2153 |               561 |                  26.06 |              146
 MK-756           | Audit Sains Data II                               |                      2222 |               578 |                  26.01 |              147
 MK-732           | Praktikum Kriptografi Lanjut                      |                      1803 |               468 |                  25.96 |              148
 MK-477           | Pengantar Algoritma Berbasis Cloud                |                      2250 |               584 |                  25.96 |              148
 MK-085           | Topik Khusus Analisis Data Eksploratif Lanjut     |                      1844 |               478 |                  25.92 |              149
 MK-176           | Manajemen Forensik Digital I                      |                      1854 |               477 |                  25.73 |              150
 MK-025           | Praktikum Pemrosesan Bahasa Alami Lanjut          |                      2214 |               569 |                  25.70 |              151
 MK-908           | Praktikum Pembelajaran Mesin Terapan              |                      1801 |               458 |                  25.43 |              152
 MK-353           | Rekayasa Statistika Komputasi I                   |                      2174 |               552 |                  25.39 |              153
 MK-236           | Rekayasa Forensik Digital Kontemporer             |                      1842 |               461 |                  25.03 |              154
(200 rows)

      tahun_akademik       |          semester          | total_mahasiswa_aktif | rata_rata_ip_semester
---------------------------+----------------------------+-----------------------+-----------------------
 2020/2021                 | Semua Semester (Sub-Total) |                  2018 |                  2.29
 2020/2021                 | Genap                      |                  2018 |                  2.28
 2020/2021                 | Ganjil                     |                  2018 |                  2.30
 2021/2022                 | Semua Semester (Sub-Total) |                  3991 |                  2.29
 2021/2022                 | Genap                      |                  3991 |                  2.28
 2021/2022                 | Ganjil                     |                  3991 |                  2.30
 2022/2023                 | Semua Semester (Sub-Total) |                  6050 |                  2.28
 2022/2023                 | Genap                      |                  6050 |                  2.30
 2022/2023                 | Ganjil                     |                  6050 |                  2.27
 2023/2024                 | Semua Semester (Sub-Total) |                  8038 |                  2.28
 2023/2024                 | Genap                      |                  8038 |                  2.28
 2023/2024                 | Ganjil                     |                  8038 |                  2.28
 2024/2025                 | Semua Semester (Sub-Total) |                 12000 |                  2.43
 2024/2025                 | Genap                      |                  7000 |                  2.64
 2024/2025                 | Ganjil                     |                 10000 |                  2.29
 Semua Tahun (Grand Total) | Semua Semester (Sub-Total) |                 12000 |                  2.33
(16 rows)

          kelas          | populasi_mahasiswa | rata_rata_ipk_keseluruhan
-------------------------+--------------------+---------------------------
 Eksekutif               |               1261 |                      2.33
 Reguler                 |               9554 |                      2.33
 Grand Total Keseluruhan |              12000 |                      2.33
 Internasional           |               1185 |                      2.32
(4 rows)

    angkatan    | tahun_akademik |    semester    | jumlah_mahasiswa_aktif | rata_rata_ip_angkatan | rata_rata_sks_diambil
----------------+----------------+----------------+------------------------+-----------------------+-----------------------
 Semua Angkatan | 2020/2021      | Semua Semester |                   2018 |                  2.29 |                    21
 Semua Angkatan | 2020/2021      | Genap          |                   2018 |                  2.28 |                    21
 Semua Angkatan | 2020/2021      | Ganjil         |                   2018 |                  2.30 |                    21
 Semua Angkatan | 2021/2022      | Semua Semester |                   3991 |                  2.29 |                    21
 Semua Angkatan | 2021/2022      | Genap          |                   3991 |                  2.28 |                    21
 Semua Angkatan | 2021/2022      | Ganjil         |                   3991 |                  2.30 |                    21
 Semua Angkatan | 2022/2023      | Semua Semester |                   6050 |                  2.28 |                    21
 Semua Angkatan | 2022/2023      | Genap          |                   6050 |                  2.30 |                    21
 Semua Angkatan | 2022/2023      | Ganjil         |                   6050 |                  2.27 |                    21
 Semua Angkatan | 2023/2024      | Semua Semester |                   8038 |                  2.28 |                    21
 Semua Angkatan | 2023/2024      | Genap          |                   8038 |                  2.28 |                    21
 Semua Angkatan | 2023/2024      | Ganjil         |                   8038 |                  2.28 |                    21
 Semua Angkatan | 2024/2025      | Semua Semester |                  12000 |                  2.43 |                    21
 Semua Angkatan | 2024/2025      | Genap          |                   7000 |                  2.64 |                    21
 Semua Angkatan | 2024/2025      | Ganjil         |                  10000 |                  2.29 |                    21
 Semua Angkatan | Semua Tahun    | Semua Semester |                  12000 |                  2.33 |                    21
 Semua Angkatan | Semua Tahun    | Genap          |                  10038 |                  2.38 |                    21
 Semua Angkatan | Semua Tahun    | Ganjil         |                  10000 |                  2.28 |                    21
 2024           | 2024/2025      | Semua Semester |                   2347 |                  2.48 |                    21
 2024           | 2024/2025      | Genap          |                    385 |                  3.50 |                    20
 2024           | 2024/2025      | Ganjil         |                   1962 |                  2.28 |                    21
 2024           | Semua Tahun    | Semua Semester |                   2347 |                  2.48 |                    21
 2024           | Semua Tahun    | Genap          |                    385 |                  3.50 |                    20
 2024           | Semua Tahun    | Ganjil         |                   1962 |                  2.28 |                    21
 2023           | 2023/2024      | Semua Semester |                   1988 |                  2.28 |                    21
 2023           | 2023/2024      | Genap          |                   1988 |                  2.29 |                    21
 2023           | 2023/2024      | Ganjil         |                   1988 |                  2.27 |                    21
 2023           | 2024/2025      | Semua Semester |                   2397 |                  2.50 |                    21
 2023           | 2024/2025      | Genap          |                    409 |                  3.49 |                    21
 2023           | 2024/2025      | Ganjil         |                   1988 |                  2.30 |                    21
 2023           | Semua Tahun    | Semua Semester |                   2397 |                  2.36 |                    21
 2023           | Semua Tahun    | Genap          |                   2397 |                  2.49 |                    21
 2023           | Semua Tahun    | Ganjil         |                   1988 |                  2.29 |                    21
 2022           | 2022/2023      | Semua Semester |                   2059 |                  2.28 |                    21
 2022           | 2022/2023      | Genap          |                   2059 |                  2.29 |                    21
 2022           | 2022/2023      | Ganjil         |                   2059 |                  2.27 |                    21
 2022           | 2023/2024      | Semua Semester |                   2059 |                  2.28 |                    21
 2022           | 2023/2024      | Genap          |                   2059 |                  2.29 |                    21
 2022           | 2023/2024      | Ganjil         |                   2059 |                  2.28 |                    21
 2022           | 2024/2025      | Semua Semester |                   2463 |                  2.43 |                    21
 2022           | 2024/2025      | Genap          |                   1413 |                  2.63 |                    21
 2022           | 2024/2025      | Ganjil         |                   2059 |                  2.29 |                    21
 2022           | Semua Tahun    | Semua Semester |                   2463 |                  2.33 |                    21
 2022           | Semua Tahun    | Genap          |                   2463 |                  2.38 |                    21
 2022           | Semua Tahun    | Ganjil         |                   2059 |                  2.28 |                    21
 2021           | 2021/2022      | Semua Semester |                   1973 |                  2.29 |                    21
 2021           | 2021/2022      | Genap          |                   1973 |                  2.28 |                    21
 2021           | 2021/2022      | Ganjil         |                   1973 |                  2.30 |                    21
 2021           | 2022/2023      | Semua Semester |                   1973 |                  2.29 |                    21
 2021           | 2022/2023      | Genap          |                   1973 |                  2.30 |                    21
 2021           | 2022/2023      | Ganjil         |                   1973 |                  2.27 |                    21
 2021           | 2023/2024      | Semua Semester |                   1973 |                  2.28 |                    21
 2021           | 2023/2024      | Genap          |                   1973 |                  2.27 |                    21
 2021           | 2023/2024      | Ganjil         |                   1973 |                  2.28 |                    21
 2021           | 2024/2025      | Semua Semester |                   2386 |                  2.41 |                    21
 2021           | 2024/2025      | Genap          |                   2386 |                  2.51 |                    21
 2021           | 2024/2025      | Ganjil         |                   1973 |                  2.29 |                    21
 2021           | Semua Tahun    | Semua Semester |                   2386 |                  2.32 |                    21
 2021           | Semua Tahun    | Genap          |                   2386 |                  2.35 |                    21
 2021           | Semua Tahun    | Ganjil         |                   1973 |                  2.29 |                    21
 2020           | 2020/2021      | Semua Semester |                   2018 |                  2.29 |                    21
 2020           | 2020/2021      | Genap          |                   2018 |                  2.28 |                    21
 2020           | 2020/2021      | Ganjil         |                   2018 |                  2.30 |                    21
 2020           | 2021/2022      | Semua Semester |                   2018 |                  2.29 |                    21
 2020           | 2021/2022      | Genap          |                   2018 |                  2.29 |                    21
 2020           | 2021/2022      | Ganjil         |                   2018 |                  2.30 |                    21
 2020           | 2022/2023      | Semua Semester |                   2018 |                  2.29 |                    21
 2020           | 2022/2023      | Genap          |                   2018 |                  2.30 |                    21
 2020           | 2022/2023      | Ganjil         |                   2018 |                  2.28 |                    21
 2020           | 2023/2024      | Semua Semester |                   2018 |                  2.29 |                    21
 2020           | 2023/2024      | Genap          |                   2018 |                  2.28 |                    21
 2020           | 2023/2024      | Ganjil         |                   2018 |                  2.29 |                    21
 2020           | 2024/2025      | Semua Semester |                   2407 |                  2.39 |                    21
 2020           | 2024/2025      | Genap          |                   2407 |                  2.49 |                    21
 2020           | 2024/2025      | Ganjil         |                   2018 |                  2.27 |                    21
 2020           | Semua Tahun    | Semua Semester |                   2407 |                  2.31 |                    21
 2020           | Semua Tahun    | Genap          |                   2407 |                  2.33 |                    21
 2020           | Semua Tahun    | Ganjil         |                   2018 |                  2.29 |                    21
(78 rows)

 angkatan |                 nama_mata_kuliah                  | jenis_mata_kuliah | total_pengambil | total_gagal | persen_gagal | ranking_matkul_kritis_angkatan
